id,XCoord,YCoord,Address,Zip,Inspection,Abatement,Descriptio,LAT,LNG
1,2723877.853,295531.6559,1 RED LION RD,15,2012-07-21 00:00:00,,'weeds feces',40.112890029427035,-75.04885723426256
2,2733343.0,271330.0,10 BLAKISTON LN,36,2013-06-29 00:00:00,,overgrown,40.04568603465037,-75.01770913027508
3,2690731.0,236223.0,10 S 20TH ST,3,2013-03-21 00:00:00,,trash,39.952871945018856,-75.17350338962885
4,2716470.5,279111.0,1000 CHANDLER ST,11,2013-05-24 00:00:00,,overgrown,40.06845299152039,-75.07710549161563
5,2728122.0,293323.0,10002 JEANES ST,16,2012-07-12 00:00:00,2012-08-22 00:00:00,'pool weeds',40.10647260456835,-75.03393301748682
6,2728122.0,293323.0,10002 JEANES ST,52,2013-01-17 00:00:00,,feces,40.10647260456835,-75.03393301748682
7,2692096.0,231049.0,1001 S 15TH ST,46,2012-12-27 00:00:00,,'weeds trash,39.938565316579904,-75.16917589545248
8,2728600.5,293082.5,10010 VERREE RD,15,2012-08-27 00:00:00,,overgrown,40.10577231415911,-75.03224964992646
9,2728552.5,293167.0,10011 FERNDALE ST,16,2012-08-27 00:00:00,,'weeds rental',40.106008220128814,-75.03241187196743
10,2728552.5,293167.0,10011 FERNDALE ST,16,2013-04-04 00:00:00,,weeds,40.106008220128814,-75.03241187196743
11,2728369.0,293327.5,10012 FERNDALE ST,16,2013-04-04 00:00:00,,trash,40.10646409805788,-75.03304991784513
12,2728391.5,293311.0,10014 FERNDALE ST,16,2013-04-04 00:00:00,,trash,40.106416925270274,-75.03297133318148
13,2728602.0,293200.5,10015 FERNDALE ST,16,2013-04-04 00:00:00,,rental,40.10609595669691,-75.03223130988896
14,2728413.5,293292.0,10016 FERNDALE ST,16,2013-04-04 00:00:00,,'high grass trash',40.106362935132864,-75.03289481021211
15,2728625.5,293216.5,10017 FERNDALE ST,16,2013-04-04 00:00:00,,rental,40.10613787260625,-75.03214557777852
16,2728447.0,293280.5,10018 FERNDALE ST,16,2013-04-04 00:00:00,,trash,40.106328552334176,-75.03277636968217
17,2728649.0,293232.5,10019 FERNDALE ST,16,2013-04-04 00:00:00,,rental,40.106179788451556,-75.0320598455621
18,2712949.5,266931.5,1002 E CHELTENHAM AVE,24,2013-06-19 00:00:00,,'high grass trash',40.03532582619742,-75.0909903593537
19,2714527.5,269933.0,1002 LEVICK ST,11,2013-06-14 00:00:00,,overgrown,40.043430999497794,-75.08503408280578
20,2728509.0,293310.5,10022 FERNDALE ST,16,2012-07-12 00:00:00,,overgrown,40.10640563044398,-75.03255152599603
21,2728534.5,293327.5,10024 FERNDALE ST,16,2012-10-12 00:00:00,,'high grass trash,40.106450121478936,-75.03245853710557
22,2728253.5,293692.0,10024 JEANES ST,16,2012-07-12 00:00:00,,overgrown,40.10747396833867,-75.03342255555545
23,2728558.0,293343.5,10026 FERNDALE ST,16,2012-10-12 00:00:00,,overgrown,40.106492037556635,-75.03237280468785
24,2728580.0,293358.5,10028 FERNDALE ST,16,2012-07-12 00:00:00,,overgrown,40.10653133646084,-75.03229254211563
25,2728304.0,293763.0,10030 JEANES ST,16,2012-07-12 00:00:00,2012-08-22 00:00:00,'rental weeds',40.107664514839115,-75.03323429389192
26,2728304.0,293763.0,10030 JEANES ST,16,2012-10-12 00:00:00,,overgrown,40.107664514839115,-75.03323429389192
27,2728815.0,293345.0,10033 FERNDALE ST,16,2012-07-12 00:00:00,2012-08-21 00:00:00,'rental weeds',40.10647444274257,-75.0314543021176
28,2728815.0,293345.0,10033 FERNDALE ST,16,2013-04-04 00:00:00,,rental,40.10647444274257,-75.0314543021176
29,2728903.5,293286.5,10036 VERREE RD,16,2013-06-25 00:00:00,,overgrown,40.106306452204066,-75.03114450309542
30,2728862.5,293377.5,10037 FERNDALE ST,16,2013-04-04 00:00:00,,rental,40.106559602991425,-75.03128099420216
31,2728766.5,293616.5,10039 BRIDLE RD,16,2013-04-08 00:00:00,,feces,40.10722348384353,-75.03159773441561
32,2712963.0,266922.5,1004 E CHELTENHAM AVE,49,2012-09-24 00:00:00,,overgrown,40.0353000156609,-75.09094313704395
33,2712963.0,266922.5,1004 E CHELTENHAM AVE,24,2013-02-21 00:00:00,,trash,40.0353000156609,-75.09094313704395
34,2728953.0,293320.5,10040 VERREE RD,16,2012-10-12 00:00:00,,overgrown,40.10639555868348,-75.03096388355631
35,2728741.5,293468.5,10042 FERNDALE ST,16,2013-03-22 00:00:00,,'weeds trash,40.10681951262974,-75.03170335152413
36,2728764.5,293484.5,10044 FERNDALE ST,16,2013-04-04 00:00:00,,trash,40.106861470386384,-75.03161940483129
37,2728789.0,293505.5,10046 FERNDALE ST,16,2013-04-04 00:00:00,,trash,40.106917020379925,-75.03152954789793
38,2729044.0,293381.0,10048 VERREE RD,16,2012-07-26 00:00:00,,overgrown,40.10655386838517,-75.03063205496662
39,2729044.0,293381.0,10048 VERREE RD,16,2013-06-25 00:00:00,,overgrown,40.10655386838517,-75.03063205496662
40,2728997.5,293469.0,10049 FERNDALE ST,16,2013-04-04 00:00:00,,rental,40.1067992531758,-75.03078852806648
41,2729024.0,293486.5,10051 FERNDALE ST,16,2013-04-04 00:00:00,,rental,40.10684503017214,-75.03069190913162
42,2729040.0,293497.0,10053 FERNDALE ST,16,2013-04-04 00:00:00,,trash,40.106872487879286,-75.0306335803764
43,2672993.0,233300.0,1007 S 57TH ST,43,2013-06-17 00:00:00,,overgrown,39.94625418576393,-75.23704428925159
44,2732646.0,290771.0,10116 WILBUR ST,16,2013-06-03 00:00:00,,overgrown,40.099087417265196,-75.01804968925701
45,2715207.5,271493.0,1012 UNRUH AVE,11,2013-06-17 00:00:00,,overgrown,40.04765508060736,-75.0824381770173
46,2713344.5,267352.0,1012 VAN KIRK ST,49,2013-04-22 00:00:00,,overgrown,40.03644697252716,-75.08953512469107
47,2713029.5,266876.0,1014 E CHELTENHAM AVE,24,2012-10-04 00:00:00,,overgrown,40.03516692952638,-75.09071075693481
48,2713443.5,267452.5,1015 VAN KIRK ST,49,2013-04-22 00:00:00,,overgrown,40.03671454513725,-75.08917091368387
49,2716976.5,279453.5,1016 GRIFFITH ST,11,2012-08-16 00:00:00,,overgrown,40.0693507125812,-75.07526133056201
50,2718704.0,282004.0,1016 STRAHLE ST,11,2012-08-24 00:00:00,,tree encroaching,40.07620512350584,-75.06881512386097
51,2715254.5,271461.0,1016 UNRUH AVE,11,2013-06-17 00:00:00,,overgrown,40.047563380192685,-75.08227382695634
52,2713371.0,267333.5,1016 VAN KIRK ST,49,2013-04-22 00:00:00,,'weeds downspout',40.0363940196498,-75.08944251828203
53,2729578.0,294170.5,10169 BRIDLE RD,16,2012-08-27 00:00:00,,overgrown,40.10867495347787,-75.02863695230593
54,2731049.0,292175.0,10169 NORTHEAST BLVD,16,2012-10-12 00:00:00,,trash,40.10307516794603,-75.02360069028322
55,2731049.0,292175.0,10169 NORTHEAST BLVD,16,2013-04-29 00:00:00,,overgrown,40.10307516794603,-75.02360069028322
56,2716968.5,273911.5,1017 SAINT VINCENT ST,11,2012-09-21 00:00:00,,overgrown,40.054144929001026,-75.07588941660397
